,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,neighborhood,city,state,country,formattedAddress,crossStreet,id,ratings
0,The Bar Room at Temple Court,Hotel Bar,123 Nassau St,40.7114477287544,-74.00680157032005,"[{'label': 'display', 'lat': 40.7114477287544, 'lng': -74.00680157032005}]",157,10038,US,Financial District,New York,NY,United States,"['123 Nassau St', 'New York, NY 10038', 'United States']",,57f0689d498e7d49d9189369,9.3
1,"The Beekman, A Thompson Hotel",Hotel,123 Nassau St,40.7111725,-74.0067017,"[{'label': 'display', 'lat': 40.7111725, 'lng': -74.0067017}]",182,10038,US,,New York,NY,United States,"['123 Nassau St (Beekman St)', 'New York, NY 10038', 'United States']",Beekman St,56d8c0f8498edb854f926e6a,9.1
2,Alba Dry Cleaner & Tailor,Laundry Service,140 Nassau St,40.71143355866638,-74.00627233822603,"[{'label': 'display', 'lat': 40.71143355866638, 'lng': -74.00627233822603}, {'label': 'entrance', 'lat': 40.711317, 'lng': -74.006246}]",145,10038,US,,New York,NY,United States,"['140 Nassau St (Beekman and Spruce st)', 'New York, NY 10038', 'United States']",Beekman and Spruce st,4c606c3e1e5cd13ad1a1a1ed,9.1
3,The Wooly Daily,Coffee Shop,11 Barclay St,40.71213724343698,-74.00839457685005,"[{'label': 'display', 'lat': 40.71213724343698, 'lng': -74.00839457685005}]",211,10007,US,,New York,NY,United States,"['11 Barclay St (Broadway)', 'New York, NY 10007', 'United States']",Broadway,56093809498e5344ab8835a6,9.0
4,City Hall Park,Park,17 Park Row,40.71241508549692,-74.00672422767822,,69,10038,US,,New York,NY,United States,"['17 Park Row (btwn Broadway & Centre St)', 'New York, NY 10038', 'United States']",btwn Broadway & Centre St,3fd66200f964a520d8f11ee3,8.9
5,The Class by Taryn Toomey,Gym / Fitness Center,22 Park Pl,40.71275251771485,-74.00873355601571,"[{'label': 'display', 'lat': 40.71275251771485, 'lng': -74.00873355601571}, {'label': 'entrance', 'lat': 40.712781, 'lng': -74.008548}]",229,10007,US,,New York,NY,United States,"['22 Park Pl', 'New York, NY 10007', 'United States']",,58a253c830ecc66c9e5b40a0,9.0
6,Takahachi Bakery,Bakery,25 Murray St,40.713652845301894,-74.0088038953017,"[{'label': 'display', 'lat': 40.713652845301894, 'lng': -74.0088038953017}, {'label': 'entrance', 'lat': 40.713716, 'lng': -74.008443}]",256,10007,US,,New York,NY,United States,"['25 Murray St (at Church St)', 'New York, NY 10007', 'United States']",at Church St,4c154c9a77cea593c401d260,9.1
7,Los Tacos No. 1,Taco Place,136 Church St,40.714267,-74.008756,"[{'label': 'display', 'lat': 40.714267, 'lng': -74.008756}]",287,10007,US,,New York,NY,United States,"['136 Church St', 'New York, NY 10007', 'United States']",,5d5f24ec09484500079aee00,9.3
8,Four Seasons Hotel New York Downtown,Hotel,27 Barclay St,40.71261246501983,-74.00938032087628,"[{'label': 'display', 'lat': 40.71261246501983, 'lng': -74.00938032087628}]",284,10007,US,,New York,NY,United States,"['27 Barclay St (Broadway)', 'New York, NY 10007', 'United States']",Broadway,57c640ad498e74977f98372f,9.2
9,Pisillo Italian Panini,Sandwich Place,97 Nassau St,40.710530084460785,-74.00752571804911,"[{'label': 'display', 'lat': 40.710530084460785, 'lng': -74.00752571804911}]",275,10038,US,,New York,NY,United States,"['97 Nassau St (at Ann St)', 'New York, NY 10038', 'United States']",at Ann St,528bf16711d2b7722da6b51c,9.0
10,CrossFit 212 TriBeCa,Gym,281 Broadway,40.714537431170484,-74.00599852611592,"[{'label': 'display', 'lat': 40.714537431170484, 'lng': -74.00599852611592}]",201,10007,US,,New York,NY,United States,"['281 Broadway', 'New York, NY 10007', 'United States']",,52001eed498e9ac16ca5e20b,8.4
11,Gibney Dance Center Downtown,Dance Studio,280 Broadway,40.71392316324669,-74.0056614920451,"[{'label': 'display', 'lat': 40.71392316324669, 'lng': -74.0056614920451}]",136,10007,US,,New York,NY,United States,"['280 Broadway (Chambers St)', 'New York, NY 10007', 'United States']",Chambers St,53373f26498e940581c90985,8.4
12,Joe’s Pizza,Pizza Place,124 Fulton St,40.710178,-74.007769,"[{'label': 'entrance', 'lat': 40.710123, 'lng': -74.007769}, {'label': 'display', 'lat': 40.710178, 'lng': -74.007769}]",320,10038,US,,New York,NY,United States,"['124 Fulton St (at Nassau St)', 'New York, NY 10038', 'United States']",at Nassau St,5c6f03f30802d4002c16884c,9.0
13,African Burial Ground National Monument,Monument / Landmark,290 Broadway,40.71498975306652,-74.00552975826278,"[{'label': 'display', 'lat': 40.71498975306652, 'lng': -74.00552975826278}, {'label': 'entrance', 'lat': 40.715054, 'lng': -74.005385}]",255,10007,US,,New York,NY,United States,"['290 Broadway', 'New York, NY 10007', 'United States']",,4a9442e3f964a520f92020e3,8.5
14,Church Street Boxing Gym,Boxing Gym,25 Park Pl,40.713353574017404,-74.00906676030888,"[{'label': 'display', 'lat': 40.713353574017404, 'lng': -74.00906676030888}]",266,10007,US,,New York,NY,United States,"['25 Park Pl (btwn Church St. & Broadway)', 'New York, NY 10007', 'United States']",btwn Church St. & Broadway,4b8dbba4f964a5201e0b33e3,8.5
